index,message_id,platform,message,future,past,psychological_present,factual_present,to_discrete
0,102378,Twitter,I need to wash my hair.,1,0,0,0.0,future
1,102379,Twitter,"Definitely going out tomorrow, I hate staying in :/",1,0,0,0.0,future
2,102380,Twitter,That time I went to an ABC party... And wore a tu tu made of trash bags...  http://t.co/iHDtkHnd,0,1,0,0.0,past
3,102381,Twitter,having a headache when your trying to sleep :(,0,0,1,0.0,psychological_present
4,102382,Twitter,never trust a guy who wears turtlenecks,0,0,0,1.0,factual_present
5,102383,Twitter,"@liyanaasyiqin Wahhh! Senior dah Yana :P Ok, so have you prepared?",0,1,0,0.0,past
6,102384,Twitter,"""@FatalBeautyyX_: @BossBraceFace_K hell yeaaaa ."" Lol , We'll Just Have To Wait And Find Out . :)",1,0,0,0.0,future
7,102385,Twitter,My stomach hurt,0,0,1,0.0,psychological_present
8,102386,Twitter,"Sleepy asf -,-",0,0,1,0.0,psychological_present
9,102387,Twitter,RT @KushandBoobs: Pursuit of happiness . project x version is Pretty fye !!! i absolutely love it ...,0,0,0,1.0,factual_present
10,102388,Twitter,@YarnBallClock probably was up late &amp;.then fell asleep. ;),0,1,0,0.0,past
11,102389,Twitter,RT @Libbayyyy: my music taste is questionable,0,0,0,1.0,factual_present
12,102390,Twitter,"@WATfangirls haha,Thank you! It's only 8 hour of plane i think anyway...(:",1,0,0,0.0,future
13,102391,Twitter,"RT @kmichelle: Real Talk though, everybody that has ever had a problem with me, has been becuz my slick mouth told them the truth! Hmmmm ...",0,0,0,1.0,factual_present
14,102392,Twitter,Lincoln heights is on WHAT i love this show cassies boyfriend is so hottttt,0,0,0,1.0,factual_present
15,102393,Twitter,So who is going to Argo with me?,1,0,0,0.0,future
16,102394,Twitter,She's not taking you to prom ....,1,0,0,0.0,future
17,102395,Twitter,RT @nicolexluce: I'm actually the biggest procrastinator of life #notkidding,0,0,0,1.0,factual_present
18,102396,Twitter,Anyone doing shoutouts?,1,0,0,0.0,future
19,102397,Twitter,RT @Sandra_Juarez: S/o to @OobeyJessiie she is cute c: ?Ã¹Â§ Follow me ?,0,0,0,1.0,factual_present
20,102398,Twitter,I go thru mo shit than a diaper..,0,0,0,1.0,factual_present
21,102399,Twitter,not even noon and my phones gonna die.. #boringclasses,1,0,0,0.0,future
22,102400,Twitter,"But truthfully .. I do so luv my ""CJ2.0"" the mostest! ;-) @ Glencoe http://t.co/NzxGudx0",0,0,0,1.0,factual_present
23,102401,Twitter,RT @FUBBING: Damn last night was AMAZING!!,0,1,0,0.0,past
24,102402,Twitter,"RT @Kastellalive: However if you were unable to get tickets for the 28th, we have another set 2 weeks later at the Bulls Head! Spread th ...",1,0,0,0.0,future
25,102403,Twitter,"RT @Funny_Truth: I hate when you're eating chips and the ""crunching"" is louder than the T.V.",0,0,1,0.0,psychological_present
26,102404,Twitter,"RT @Yo_Gozi_Gozi2012RT @PastorJonLilley: Are you weary, are you heavy-hearted? Tell it to Jesus. #pray",0,0,0,1.0,factual_present
27,102405,Twitter,I dare you to touch her -.- try me.,0,0,0,1.0,factual_present
28,102406,Twitter,@1fLYYiNdiviDuaL man idk gotta go shhot to the crib asap,1,0,0,0.0,future
29,102407,Twitter,@becksome_2012 that moment when you tag maddie in the picture IM in ........ ;),0,1,0,0.0,past
30,102408,Twitter,Ugh this idiot is so fkn nasty!! Im just so mad right now Ã“ÃªÃ±,0,0,1,0.0,psychological_present
31,102409,Twitter,I think I should sleep now,1,0,0,0.0,future
32,102410,Twitter,I dislike reading assignments I can't understand #History #Dum,0,0,0,1.0,factual_present
33,102411,Twitter,@Ginnykopite Bamford ;-),0,0,1,0.0,psychological_present
34,102412,Twitter,just shout me out first!  http://t.co/yq39ZHMm,0,0,1,0.0,psychological_present
35,102413,Twitter,RT @thereallangmack: Those video refs decisions were a joke we must be watching a different game,0,1,0,0.0,past
36,102414,Twitter,"RT @SydneySablatura: mom was right, once a player always a player. nothing will change. #maybeonday",0,0,0,1.0,factual_present
37,102415,Twitter,@monbrielle still around =.=? When the hell he would finally enlist army?,0,0,1,0.0,psychological_present
38,102416,Twitter,"Bitches that so call ""close"" to you but try to talk to your ex &lt;&lt;&lt;&lt; , #Trifling .",0,1,0,0.0,past
39,102417,Twitter,RT @Harry_Styles: Shana Tova to all our Jewish fans.. Hope you have a great day .xx,0,0,1,0.0,psychological_present
40,102418,Twitter,Kinda feel like pissin this kid off so I'm bouta fake start an argument Lmaoo,1,0,0,0.0,future
41,102419,Twitter,@denejay_ *starts praying to every god known to man*,0,0,1,0.0,psychological_present
42,102420,Twitter,RT @TheSecretNipple: i get on my knees to suck zayn's dick,0,1,0,0.0,past
43,102421,Twitter,"@benfitzer1987 wish it was mate, were not balling monday so thought I'd get physio in there as they were struggling without me haha",1,0,0,0.0,future
44,102422,Twitter,RT @AdeleLSmith: Project X is an unreal film #wishiwasthere,0,0,0,1.0,factual_present
45,102423,Twitter,"RT @JimCarrey: News Flash! There is no pussy in heaven, so you might as well simmer down and get it while it's hot! ;^?Ã„Â¢",0,0,0,1.0,factual_present
46,102424,Twitter,Going to cry that geometry test was so fucking hard #failure,0,1,0,0.0,past
47,102425,Twitter,"Off tomorrow "")",1,0,0,0.0,future
48,102426,Twitter,This fool is really out skateboarding with a dog!,0,1,0,0.0,past
49,102427,Twitter,Can't move my elbow but don't know what I've done to it :(,0,0,1,0.0,psychological_present
50,102428,Twitter,its friday it means more fangirling,0,0,1,0.0,psychological_present
51,102429,Twitter,this is so bull shit. how many times do i have to tell you im over this,0,1,0,0.0,past
52,102430,Twitter,"until you've been depressed, you'll never understand how we feel.",0,0,0,1.0,factual_present
53,102431,Twitter,sometimes i say things without thinking.. i gotta work on that.,0,1,0,0.0,past
54,102432,Twitter,@oneill_aine follow back please ?,0,0,1,0.0,psychological_present
55,102433,Twitter,You're ready to try something new and different today as beaut... More for Pisces http://t.co/SIbR3hP3,0,0,1,0.0,psychological_present
56,102434,Twitter,Next month I start gettin big $$ #solodolo,1,0,0,0.0,future
57,102435,Twitter,Probly gonna be one of those sleepless nights again,1,0,0,0.0,future
58,102436,Twitter,Where these ppl be coming from?,0,0,0,1.0,factual_present
59,102437,Twitter,"i love reyna berrelleza so much, real shit. i'm glad i have her!",0,0,0,1.0,factual_present
60,102438,Twitter,RT @disneywords: Why am I so different? â€šÃ„Ã¬Tarzan,0,0,0,1.0,factual_present
61,102439,Twitter,@_LanaPage @shellbeejay we'll be back in the am!!!,1,0,0,0.0,future
62,102440,Twitter,You Know What Got me Tha most ? yo Friends Lying &amp; shit,0,1,0,0.0,past
63,102441,Twitter,@boyvladi - If you want to sent us a complaint you can write to nytorv@danskebank.dk att.: Claus Dehn-Christoffersen.,0,0,0,1.0,factual_present
64,102442,Twitter,@Shimmy_Cakes that hoe was a hairy troll.,0,1,0,0.0,past
65,102443,Twitter,@adrilovee18 @atikaren_123 let's just hang out both days so we hang out a lot and so that Adrii can finally join us tomorrow :),1,0,0,0.0,future
66,102444,Twitter,"Awwwnnnn fenks hun""@qintayoexpoze: Nice too. RT @sexyK33d: Fenks buh I av change it :(""@qintayoexpoze: @sexyK33d nice avi""""",0,0,1,0.0,psychological_present
67,102445,Twitter,"I'm so thirsty, no, like actual thirst...",0,0,1,0.0,psychological_present
68,102446,Twitter,Wish iKuld TurnUp 2nite doe,1,0,0,0.0,future
69,102447,Twitter,Hockey over everything,0,0,0,1.0,factual_present
70,102448,Twitter,RT @MiHeart_Speaks: That moment you lose all respect for that person you used to like.,0,1,0,0.0,past
71,102449,Twitter,"@KendraE23 I swear, in my head I thought ""The team should do this"" and you were the first person I imagined wielding a gun. I. Love. You!",0,1,0,0.0,past
72,102450,Twitter,@RealAssJamaican to pay a speeding ticket,0,0,1,0.0,psychological_present
73,102451,Twitter,RT @Geezus_G: oh Sam... the stuff I learn about the family I haven't even met yet. LMAO,0,1,0,0.0,past
74,102452,Twitter,"RT @__FirstLadyy: @Made_2_Finesse ShutUp , I Told Yu Im Not Yo Sidterr No Moree . Im Mad At Yu .",0,0,1,0.0,psychological_present
75,102453,Twitter,@Swalla4aFollow Dat wine good tho aint it bit???,0,1,0,0.0,past
76,102454,Twitter,@BadAssChanning Awesome! I'll put u in my bio.,1,0,0,0.0,future
77,102455,Twitter,Lol he almost took that fall coming out of wal mart for the team.,0,1,0,0.0,past
78,102456,Twitter,"@ItsShylaaPounj hahaha, i better get on with my work now x",1,0,0,0.0,future
79,102457,Twitter,"RT @CP24: Navy veteran Neil Armstrong, first man to walk on moon, buried at sea in Atlantic. http://t.co/d9ZVjVC0",0,1,0,0.0,past
80,102458,Twitter,Nomore pain nor tears ova them lame ass bitches http://t.co/drPzHsb9,0,0,0,1.0,factual_present
81,102459,Twitter,I love shopping with my best friend ^.^,0,0,0,1.0,factual_present
82,102460,Twitter,Well damn ?Ã¼Ã²Ã­,0,0,1,0.0,psychological_present
83,102461,Twitter,"@Shaa__whaaaat yeaah, jst call my house or hit me up on here wen your on your way over this wayy.",1,0,0,0.0,future
84,102462,Twitter,@emory_sallie_jr thinking about that now,0,0,1,0.0,psychological_present
85,102463,Twitter,Would rather have no one then live a lie,0,0,0,1.0,factual_present
86,102464,Twitter,I will getting JELOUSE when a couple be sweetest infornt me. And me likee... Stand up and find others table.,0,1,0,0.0,past
87,102465,Twitter,@BobVila Wow! These are serious abodes for pets of all income levels. http://t.co/bVXX7VmW,0,0,0,1.0,factual_present
88,102466,Twitter,@deadislandgame I just finished your fucking game today!! Its freakin epic!!,0,1,0,0.0,past
89,102467,Twitter,Waste of my time?Ã¼Ã²Ã®,0,0,1,0.0,psychological_present
90,102468,Twitter,NO SHAME WHAT SO EVER!!! And i tried to use reverse psychology... NOT... lol,0,1,0,0.0,past
91,102469,Twitter,Pooped! Now I'm just home contemplating some things I shouldn't.,0,1,0,0.0,past
92,102470,Twitter,"RT @RiichhForever: #ThingsPeopleSayAfterABreakup ""We can still be friends"" Knowing damn well they never wanna talk again.",0,1,0,0.0,past
93,102471,Twitter,RT @ted_baker: Tedâ€šÃ„Ã´s got the sweetest feeling today. Follow &amp; Tweet @Ted_Baker + #TedsSweetTreat for your chance to win today's Ted  ...,0,1,0,0.0,past
94,102472,Twitter,@AndySamuels31 THEN YOU SHOULD FOLLOW ME YES ?,1,0,0,0.0,future
95,102473,Twitter,My mom mad we watchn the game,0,1,0,0.0,past
96,102474,Twitter,@DanielleKane15 I knew I wasn't crazy. But when you click the link it changes to 10/2 http://t.co/kBA6d9Mg,0,1,0,0.0,past
97,102475,Twitter,"Back to the remote situation of living in a remote place to study a language thats becoming remote,for a cause that will be remote one day!",0,0,0,1.0,factual_present
98,102476,Twitter,"Just about the only disadvantage of ""extremism"" is that it can never solve a problem.",0,0,0,1.0,factual_present
99,102477,Twitter,Me and Eric reminiscing. Lol.,0,0,1,0.0,psychological_present
100,102478,Twitter,I can only imagine the begining,0,0,0,1.0,factual_present
101,102479,Twitter,"@thesiswhisperer @kyliebudge Thinking if class is cancelled, I would #SUAW at melb central until 12 for strike.",1,0,0,0.0,future
102,102480,Twitter,Anyone know where's the nearest vet for cat in west area?,1,0,0,0.0,future
103,102481,Twitter,@abiparkes awww dance comp ?,0,0,0,1.0,factual_present
104,102482,Twitter,@TexasMadeCauley u is a mess:),0,0,0,1.0,factual_present
105,102483,Twitter,finally done with my hair &amp; in bed !,0,1,0,0.0,past
106,102484,Twitter,Me: i need a calculator. My phones dead. Him: use mine. Me: ok..3.2 x 12 is 38.4,0,1,0,0.0,past
107,102485,Twitter,RT @TeamCBAfrica1: I feel like UK fans are gonne get SWERVED by the Fortune tour :(,1,0,0,0.0,future
108,102486,Twitter,It hasn't been more than 4 hours and @OhhNita we had to stop twice to go to the restroom.,0,1,0,0.0,past
109,102487,Twitter,Sometimes my students Surprise me!,0,1,0,0.0,past
