user_id,age,isFemale,factual_present,future,past,psychological_present
749003,33,0,0.2985,0.1093,0.2408,0.057
822540,36,0,0.2101,0.1108,0.1929,0.0621
865071,20,0,0.1884,0.1224,0.2351,0.0789
1397001,43,1,0.45,0.2,0.05,0.1
1459461,31,1,0.2264,0.0883,0.1969,0.0372
1603031,31,0,0.2122,0.096,0.0871,0.0646
2026441,50,1,0.2042,0.0743,0.2546,0.061
2093301,26,0,0.1317,0.1756,0.1947,0.0742
3488451,37,0,0.4211,0.0789,0.1053,0.0526
3544741,28,0,0.1656,0.1036,0.2099,0.0946
4339771,30,1,0.125,0.0417,0.2083,0.0417
4521491,36,1,0.1452,0.1111,0.1756,0.0735
4650621,54,0,0.5094,0.0457,0.0946,0.0118
5666752,29,1,0.2043,0.0929,0.1514,0.0414
5690282,28,1,0.2332,0.1116,0.1459,0.0987
5917992,38,0,0.099,0.1433,0.2471,0.0563
6051522,26,1,0.087,0.2174,0.2029,0.1159
6332682,38,1,0.2156,0.1081,0.1337,0.0512
6740082,46,0,0.1193,0.1065,0.246,0.0386
7097802,43,0,0.1779,0.1104,0.1686,0.0367
7182022,42,1,0.2381,0.1151,0.2143,0.0575
7348342,33,0,0.2725,0.0549,0.1579,0.0349
7417492,58,1,0.2264,0.0433,0.0888,0.0888
7544592,26,1,0.2026,0.1237,0.1763,0.0974
7765472,28,1,0.139,0.0759,0.1805,0.0616
7899462,35,1,0.1533,0.0986,0.2253,0.0648
7926272,45,0,0.0441,0.0882,0.125,0.0074
8194092,27,0,0.2913,0.106,0.2077,0.0473
8406662,39,0,0.1909,0.1454,0.1833,0.0695
8470262,22,0,0.2069,0.0967,0.1053,0.0649
8513432,37,0,0.2174,0.1074,0.1248,0.043
9044272,55,0,0.1628,0.1379,0.1903,0.08
9079602,23,1,0.2188,0.1538,0.2385,0.0807
9868472,35,0,0.2358,0.0708,0.1521,0.0427
10234782,28,0,0.2265,0.1103,0.2096,0.0587
10451182,44,0,0.1583,0.1262,0.2032,0.047
10773912,23,1,0.2797,0.1371,0.1883,0.0676
10955832,34,1,0.3289,0.094,0.0705,0.0772
11098712,32,0,0.2711,0.0733,0.1319,0.0476
12021352,29,1,0.2074,0.1453,0.1501,0.0712
12332182,38,1,0.2795,0.0822,0.2041,0.0546
13165752,37,1,0.1753,0.1299,0.1429,0.0779
13309552,44,1,0.1778,0.0686,0.2176,0.0439
13981312,56,1,0.2247,0.1461,0.1742,0.0506
14030812,51,1,0.1754,0.0984,0.229,0.0585
14058536,35,0,0.0339,0.0169,0.8305,0.0169
14062421,22,0,0.135,0.0633,0.1224,0.1308
14124606,38,1,0.1374,0.2085,0.2085,0.109
14170289,44,0,0.1927,0.1653,0.217,0.0346
14171950,33,1,0.2096,0.0608,0.0964,0.044
14211227,31,1,0.1752,0.0999,0.1623,0.0808
14222204,23,1,0.1538,0.1783,0.251,0.0804
14240153,39,0,0.172,0.1371,0.1677,0.0698
14256294,45,1,0.4395,0.0291,0.0866,0.0365
14297464,38,0,0.0,0.6667,0.6667,0.0
14336742,29,1,0.2563,0.1001,0.2112,0.0793
14348851,25,1,0.1909,0.095,0.3315,0.0731
14429994,56,0,0.3636,0.0909,0.2727,0.0909
14435859,35,1,0.2364,0.0888,0.2233,0.0473
14563740,44,0,0.1516,0.0893,0.2056,0.0447
14592726,39,1,0.1916,0.123,0.2051,0.0809
14614494,30,1,0.2282,0.091,0.1937,0.0346
14707806,50,1,0.5054,0.0397,0.0668,0.0199
14849081,45,0,0.2569,0.1019,0.1711,0.0355
14851038,36,0,0.268,0.1016,0.2116,0.0197
14880410,41,1,0.3899,0.0318,0.069,0.0159
14910028,22,1,0.3366,0.0787,0.1495,0.0588
15034178,36,1,0.4473,0.0422,0.1942,0.0142
15039098,56,0,0.2108,0.1568,0.1777,0.1045
15076293,26,1,0.1563,0.1493,0.1319,0.0903
15099813,31,0,0.2468,0.1429,0.2338,0.0482
15143247,26,1,0.2211,0.096,0.2065,0.0461
15196943,39,0,0.1146,0.1386,0.1614,0.0531
15201386,49,0,0.2373,0.1019,0.1732,0.0306
15274196,27,1,0.178,0.1585,0.2319,0.0808
15281952,47,1,0.0964,0.1417,0.1468,0.016
15335474,49,1,0.1942,0.1029,0.1937,0.0394
15369325,26,1,0.2235,0.1198,0.2138,0.0727
15388148,36,0,0.14,0.1131,0.2362,0.0602
15419131,38,1,0.1499,0.0866,0.1537,0.0633
15436890,22,1,0.2621,0.1222,0.1794,0.0642
15437696,29,0,0.2325,0.0957,0.1635,0.0679
15494123,32,0,0.1779,0.1325,0.2015,0.0708
15519857,43,0,0.2332,0.0881,0.171,0.0518
15540235,27,0,0.4286,0.2857,0.0,0.0
15606388,58,0,0.1944,0.0472,0.1137,0.0448
15655288,34,1,0.19,0.1083,0.1617,0.0576
15703735,27,1,0.3422,0.1077,0.1602,0.0791
15713534,40,0,0.1529,0.0824,0.1176,0.0235
15721421,24,0,0.2099,0.107,0.2469,0.037
15740626,39,1,0.1225,0.1766,0.1738,0.1168
15774274,25,1,0.2151,0.1446,0.1661,0.1062
15868932,34,1,0.1468,0.1606,0.1376,0.0482
15912799,23,1,0.2657,0.1159,0.1562,0.0516
15925282,26,0,0.1016,0.0875,0.1993,0.0396
15929888,46,1,0.1727,0.0854,0.085,0.0331
15966552,22,1,0.1953,0.2077,0.2154,0.1226
16085494,49,0,0.108,0.084,0.208,0.068
16194971,31,0,0.1928,0.2791,0.1677,0.0736
16205123,35,0,0.129,0.1183,0.1398,0.0753
16247779,28,1,0.1742,0.1044,0.1578,0.0657
16267925,31,1,0.1642,0.1621,0.1863,0.1011
16279836,24,1,0.1539,0.1853,0.1424,0.0888
16329047,35,0,0.2325,0.1077,0.136,0.0501
16340534,33,1,0.2345,0.1317,0.214,0.0713
16364718,32,1,0.2826,0.0845,0.2391,0.0531
16404395,28,1,0.2988,0.0966,0.21,0.0539
16438708,34,0,0.2236,0.1202,0.1782,0.0444
16456627,59,0,0.2769,0.06,0.1491,0.0274
16531460,38,1,0.1626,0.1381,0.1598,0.0916
16538871,37,1,0.2515,0.1557,0.1437,0.0419
16540031,23,1,0.2083,0.1507,0.2014,0.1057
16548053,46,0,0.1743,0.1439,0.1807,0.0511
16619331,24,1,0.2905,0.0991,0.1831,0.0547
16697755,34,1,0.2388,0.0932,0.0783,0.0455
