index,message_id,platform,message,future,past,psychological_present,factual_present,to_discrete
0,0,Weibo,,0,1,0,0,past
1,4,Weibo,,0,0,0,1,factual_present
2,19,Weibo,,0,0,1,0,psychological_present
3,25,Weibo,,0,0,1,0,psychological_present
4,26,Weibo,,0,0,1,0,psychological_present
5,27,Weibo,,0,0,1,0,psychological_present
6,28,Weibo,,1,0,0,0,future
7,29,Weibo,,1,0,0,0,future
8,35,Weibo,,1,0,0,0,future
9,41,Weibo,,0,0,0,1,factual_present
10,45,Weibo,,0,1,0,0,past
11,46,Weibo,,0,0,1,0,psychological_present
12,47,Weibo,,0,0,1,0,psychological_present
13,48,Weibo,,0,0,1,0,psychological_present
14,50,Weibo,,0,1,0,0,past
15,67,Weibo,,0,0,0,1,factual_present
16,71,Weibo,,0,0,1,0,psychological_present
17,72,Weibo,,1,0,0,0,future
18,73,Weibo,,0,0,1,0,psychological_present
19,74,Weibo,,0,0,1,0,psychological_present
20,75,Weibo,,0,1,0,0,past
21,76,Weibo,,1,0,0,0,future
22,79,Weibo,,0,0,1,0,psychological_present
23,81,Weibo,,0,0,1,0,psychological_present
24,82,Weibo,,0,0,1,0,psychological_present
25,83,Weibo,,0,0,0,1,factual_present
26,84,Weibo,,0,0,1,0,psychological_present
27,85,Weibo,,1,0,0,0,future
28,93,Weibo,,1,0,0,0,future
29,94,Weibo,,0,0,1,0,psychological_present
30,95,Weibo,,1,0,0,0,future
31,96,Weibo,,0,1,0,0,past
32,97,Weibo,,0,0,1,0,psychological_present
33,99,Weibo,,1,0,0,0,future
34,101,Weibo,,0,0,1,0,psychological_present
35,102,Weibo,,0,0,1,0,psychological_present
36,105,Weibo,,0,0,1,0,psychological_present
37,106,Weibo,,0,0,1,0,psychological_present
38,107,Weibo,,0,0,1,0,psychological_present
39,108,Weibo,,0,0,1,0,psychological_present
40,109,Weibo,,0,0,1,0,psychological_present
41,115,Weibo,,0,0,1,0,psychological_present
42,121,Weibo,,0,0,1,0,psychological_present
43,122,Weibo,,0,1,0,0,past
44,123,Weibo,,0,0,1,0,psychological_present
45,124,Weibo,,0,0,0,1,factual_present
46,125,Weibo,,0,0,1,0,psychological_present
47,126,Weibo,,0,0,1,0,psychological_present
48,127,Weibo,,0,1,0,0,past
49,129,Weibo,,0,0,1,0,psychological_present
50,134,Weibo,,1,0,0,0,future
51,138,Weibo,,0,1,0,0,past
52,139,Weibo,,0,1,0,0,past
53,140,Weibo,,0,0,1,0,psychological_present
54,141,Weibo,,0,1,0,0,past
55,142,Weibo,,0,0,1,0,psychological_present
56,151,Weibo,,0,0,1,0,psychological_present
57,152,Weibo,,0,0,1,0,psychological_present
58,153,Weibo,,1,0,0,0,future
59,154,Weibo,,1,0,0,0,future
60,155,Weibo,,0,0,1,0,psychological_present
61,164,Weibo,,1,0,0,0,future
62,165,Weibo,,1,0,0,0,future
63,166,Weibo,,0,0,1,0,psychological_present
64,167,Weibo,,0,0,1,0,psychological_present
65,171,Weibo,,0,0,1,0,psychological_present
66,172,Weibo,,1,0,0,0,future
67,174,Weibo,,0,1,0,0,past
68,181,Weibo,,1,0,0,0,future
69,182,Weibo,,1,0,0,0,future
70,183,Weibo,,0,0,1,0,psychological_present
71,185,Weibo,,0,0,1,0,psychological_present
72,186,Weibo,,0,0,1,0,psychological_present
73,187,Weibo,,0,0,1,0,psychological_present
74,189,Weibo,,0,0,0,1,factual_present
75,190,Weibo,,1,0,0,0,future
76,192,Weibo,,0,1,0,0,past
77,193,Weibo,,0,0,1,0,psychological_present
78,194,Weibo,,0,0,1,0,psychological_present
79,199,Weibo,,0,0,1,0,psychological_present
80,201,Weibo,,0,0,1,0,psychological_present
81,202,Weibo,,1,0,0,0,future
82,203,Weibo,,1,0,0,0,future
83,204,Weibo,,1,0,0,0,future
84,205,Weibo,,1,0,0,0,future
85,206,Weibo,,0,0,1,0,psychological_present
86,208,Weibo,,0,0,1,0,psychological_present
87,209,Weibo,,0,1,0,0,past
88,229,Weibo,,0,0,1,0,psychological_present
89,230,Weibo,,0,0,0,1,factual_present
90,231,Weibo,,0,0,1,0,psychological_present
91,232,Weibo,,0,1,0,0,past
92,233,Weibo,,0,1,0,0,past
93,234,Weibo,,0,0,1,0,psychological_present
94,236,Weibo,,0,0,1,0,psychological_present
95,237,Weibo,,0,0,1,0,psychological_present
96,238,Weibo,,0,0,1,0,psychological_present
97,239,Weibo,,0,1,0,0,past
98,240,Weibo,,0,0,1,0,psychological_present
99,241,Weibo,,0,1,0,0,past
100,242,Weibo,,0,0,1,0,psychological_present
101,248,Weibo,,0,1,0,0,past
102,250,Weibo,,0,0,1,0,psychological_present
103,251,Weibo,,0,1,0,0,past
104,256,Weibo,,0,0,1,0,psychological_present
105,257,Weibo,,0,0,0,1,factual_present
106,258,Weibo,,0,0,0,1,factual_present
107,259,Weibo,,0,0,0,1,factual_present
108,262,Weibo,,0,0,1,0,psychological_present
109,264,Weibo,,0,0,1,0,psychological_present
110,265,Weibo,,1,0,0,0,future
111,266,Weibo,,0,0,1,0,psychological_present
112,267,Weibo,,1,0,0,0,future
113,268,Weibo,,0,0,0,1,factual_present
114,273,Weibo,,0,1,0,0,past
115,274,Weibo,,0,0,1,0,psychological_present
116,275,Weibo,,0,0,1,0,psychological_present
117,276,Weibo,,0,0,1,0,psychological_present
118,282,Weibo,,0,0,0,1,factual_present
119,283,Weibo,,0,0,1,0,psychological_present
120,284,Weibo,,0,1,0,0,past
121,286,Weibo,,0,0,1,0,psychological_present
122,287,Weibo,,0,0,1,0,psychological_present
123,297,Weibo,,0,0,1,0,psychological_present
124,301,Weibo,,0,0,1,0,psychological_present
125,302,Weibo,,0,0,1,0,psychological_present
126,303,Weibo,,1,0,0,0,future
127,306,Weibo,,0,0,0,1,factual_present
128,307,Weibo,,1,0,0,0,future
129,308,Weibo,,1,0,0,0,future
130,310,Weibo,,1,0,0,0,future
131,312,Weibo,,0,0,1,0,psychological_present
132,313,Weibo,,0,0,1,0,psychological_present
133,314,Weibo,,0,0,1,0,psychological_present
134,315,Weibo,,1,0,0,0,future
135,319,Weibo,,0,1,0,0,past
136,321,Weibo,,0,0,0,1,factual_present
137,333,Weibo,,0,0,1,0,psychological_present
138,334,Weibo,,0,0,1,0,psychological_present
139,335,Weibo,,0,1,0,0,past
140,336,Weibo,,0,0,1,0,psychological_present
141,338,Weibo,,0,0,0,1,factual_present
142,339,Weibo,,0,1,0,0,past
143,340,Weibo,,0,1,0,0,past
144,341,Weibo,,0,1,0,0,past
145,342,Weibo,,0,1,0,0,past
146,343,Weibo,,0,1,0,0,past
147,344,Weibo,,0,0,1,0,psychological_present
148,345,Weibo,,0,1,0,0,past
149,346,Weibo,,0,0,1,0,psychological_present
150,351,Weibo,,0,0,1,0,psychological_present
151,352,Weibo,,0,0,1,0,psychological_present
152,364,Weibo,,0,0,1,0,psychological_present
153,369,Weibo,,0,0,0,1,factual_present
154,370,Weibo,,0,0,0,1,factual_present
155,371,Weibo,,0,0,0,1,factual_present
156,372,Weibo,,0,0,0,1,factual_present
157,373,Weibo,,0,0,0,1,factual_present
158,375,Weibo,,0,0,1,0,psychological_present
159,380,Weibo,,0,0,1,0,psychological_present
160,381,Weibo,,0,0,0,1,factual_present
161,386,Weibo,,0,0,0,1,factual_present
162,388,Weibo,,0,0,1,0,psychological_present
163,389,Weibo,,1,0,0,0,future
164,390,Weibo,,0,0,0,1,factual_present
165,395,Weibo,,0,1,0,0,past
